
pkg             file                   bytes machine
---             ----                   ----- -------
brotli          libbrotlicommon.a     132516 data
brotli          libbrotlicommon.dll   245577 0xAA64
brotli          libbrotlicommon.dll.a   8952 data
brotli          libbrotlidec.a         45208 data
brotli          libbrotlidec.dll      160008 0xAA64
brotli          libbrotlidec.dll.a     21078 data
brotli          libbrotlienc.a        644500 data
brotli          libbrotlienc.dll      736551 0xAA64
brotli          libbrotlienc.dll.a     66896 data
c-ares          libcares-2.dll        376363 0xAA64
c-ares          libcares.a            357900 data
c-ares          libcares.dll.a        364348 data
ca-certificates ca-bundle.crt         260007 data
libffi          libffi.a               30456 data
libssh2         libssh2-1.dll         375196 0xAA64
libssh2         libssh2.a             293808 data
libssh2         libssh2.dll.a         187354 data
libtasn1        libtasn1-6.dll        194236 0xAA64
libtasn1        libtasn1.a             91944 data
libtasn1        libtasn1.dll.a         55336 data
make            mingw32-make.exe      358912 0xAA64
wineditline     edit.dll              313163 0xAA64
wineditline     libedit_static.a       37382 data
wineditline     libedit.dll.a          19998 data


