Family,Original blocker row
Credential-manager/selector integration,managed-admission-not-supplied:mingw-w64-aarch64-git-credential-manager
Credential-manager/selector integration,payload-file-not-supplied:mingwarm64/bin/git-credential-helper-selector.exe
Credential-manager/selector integration,payload-file-not-supplied:mingwarm64/bin/git-credential-manager.exe
Credential-manager/selector integration,provider-not-supplied:mingw-w64-aarch64-git-credential-manager
Native self-hosting evidence,missing-native-self-hosting-evidence
MSYS shell profile,payload-file-not-supplied:etc/profile
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/cat.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/cp.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/env.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/mkdir.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/rm.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/sort.exe
Coreutils provider and seven required executables,payload-file-not-supplied:usr/bin/uniq.exe
Coreutils provider and seven required executables,provider-not-supplied:coreutils
Findutils provider and find executable,payload-file-not-supplied:usr/bin/find.exe
Findutils provider and find executable,provider-not-supplied:findutils
MSYS less provider and executable,payload-file-not-supplied:usr/bin/less.exe
MSYS less provider and executable,provider-not-supplied:less
Perl and eight Perl modules,payload-file-not-supplied:usr/bin/perl.exe
Perl and eight Perl modules,provider-not-supplied:perl
Perl and eight Perl modules,provider-not-supplied:perl-Authen-SASL
Perl and eight Perl modules,provider-not-supplied:perl-DBI
Perl and eight Perl modules,provider-not-supplied:perl-Error
Perl and eight Perl modules,provider-not-supplied:perl-JSON
Perl and eight Perl modules,provider-not-supplied:perl-MIME-tools
Perl and eight Perl modules,provider-not-supplied:perl-Net-SMTP-SSL
Perl and eight Perl modules,provider-not-supplied:perl-TermReadKey
Perl and eight Perl modules,provider-not-supplied:perl-libwww
Sed provider and executable,payload-file-not-supplied:usr/bin/sed.exe
Sed provider and executable,provider-not-supplied:sed
MSYS OpenSSH provider and four executables,payload-file-not-supplied:usr/bin/ssh-add.exe
MSYS OpenSSH provider and four executables,payload-file-not-supplied:usr/bin/ssh-agent.exe
MSYS OpenSSH provider and four executables,payload-file-not-supplied:usr/bin/ssh-keygen.exe
MSYS OpenSSH provider and four executables,payload-file-not-supplied:usr/bin/ssh.exe
MSYS OpenSSH provider and four executables,provider-not-supplied:openssh
MinGW libcurl operational-path gate,private-runtime-path:mingwarm64/bin/libcurl-4.dll:C:/ap08-d207/curl-chain-01/variants/openssl/prefix/mingwarm64/bin
MinGW Tcl operational-path gates,private-runtime-path:mingwarm64/bin/tcl86.dll:C:/ap10-ca5f/git-full-01/bootstrap/mingwarm64/bin
MinGW Tcl operational-path gates,private-runtime-path:mingwarm64/bin/tcl86.dll:C:/ap10-ca5f/git-full-01/bootstrap/mingwarm64/lib/tcl8.6
MinGW Tcl operational-path gates,private-runtime-path:mingwarm64/bin/tcl86.dll:C:/ap10-ca5f/git-full-01/bootstrap/mingwarm64/share/man
Other 20 distinct package identities,provider-not-supplied:antiword
Other 20 distinct package identities,provider-not-supplied:connect
Other 20 distinct package identities,provider-not-supplied:dash
Other 20 distinct package identities,provider-not-supplied:docx2txt
Other 20 distinct package identities,provider-not-supplied:dos2unix
Other 20 distinct package identities,provider-not-supplied:gnupg
Other 20 distinct package identities,provider-not-supplied:mintty
Other 20 distinct package identities,provider-not-supplied:nano
Other 20 distinct package identities,provider-not-supplied:odt2txt
Other 20 distinct package identities,provider-not-supplied:patch
Other 20 distinct package identities,provider-not-supplied:ssh-pageant
Other 20 distinct package identities,provider-not-supplied:subversion
Other 20 distinct package identities,provider-not-supplied:tar
Other 20 distinct package identities,provider-not-supplied:tig
Other 20 distinct package identities,provider-not-supplied:unzip
Other 20 distinct package identities,provider-not-supplied:vim
Other 20 distinct package identities,provider-not-supplied:which
Other 20 distinct package identities,provider-not-supplied:winpty
Other 20 distinct package identities,provider-not-supplied:xpdf-tools
Other 20 distinct package identities,provider-not-supplied:xz
