DLL,side,category,SHA256,path,provider,receipt_path,receipt_SHA256,private_dependencies,seed_consumers_reaching,strict_status,notes
libcrypto-3-arm64.dll,MinGW/Windows-UCRT,unadmitted-superseded-bytes,0d35dfe504cfc03e49c2d6c989ff3838216c658aa5c23559de2756e46fd6561a,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libcrypto-3-arm64.dll,mingw-w64-aarch64-openssl,C:\ap11-native-provider-intake\openssl-mingwarm64-admitted-v1\export.json,4c3a57be0859f70a355a6d133604cf278cd06fc8406f734344bf15331ebf1a62,,1,Current strict selection exists; different DLL bytes,Old archive256c superseded by admitted02f2. Intake explicitly rejects these old bytes as current limited authority. No substitution made.
libexpat-1.dll,MinGW/Windows-UCRT,admitted-selected-package,4b0f06ce98f28b6d479e7f04695770478c183031a1742dc9fc34add0d7a8272f,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libexpat-1.dll,mingw-w64-aarch64-expat,C:\ap11-native-provider-intake\revoked-free-closures-v2\python-export.json,50135bf37587bf428930ccd6f3cc93bb0a0891fbd80bb74d18446911a5896c2f,,1,Current strict selection exists; same DLL bytes,Exact current selected package member; dependency completeness and full-release qualification remain separate.
libiconv-2.dll,MinGW/Windows-UCRT,admitted-limited-role,5eb3e024adbeb40e990530b64498fa5305b4ebeaa34db971196f92317f70a35d,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libiconv-2.dll,mingw-w64-clang-aarch64-libiconv 1.19-1 (C projection),C:\ap11-native-provider-intake\official-clangarm64-libintl-limited-mvp-v1\export.json,ac7849fd9934f5773ab1aa9a49aba30e78c371645af13944cf06d65c6c6661f1,,21,Current strict selection exists; different DLL bytes,Artifact role only; not a strict package-provider transaction. Official CLANGARM64 C projection; strict GNU gettext is not admitted.
libidn2-0.dll,MinGW/Windows-UCRT,admitted-selected-package,20a7f146b22d0674cc3d963bdf0b901cde2ac434b55b4b8190aee053f0d561bf,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libidn2-0.dll,mingw-w64-aarch64-libidn2,C:\ap11-native-provider-intake\revoked-free-closures-v2\network-export.json,aa92b9ef76a7c0d2ffcd72b2f816ea30f0d0cbfc55e9d949eef073324e8817ae,mingwarm64/bin/libiconv-2.dll;mingwarm64/bin/libintl-8.dll;mingwarm64/bin/libunistring-5.dll,1,Current strict selection exists; same DLL bytes,Exact current selected package member; dependency completeness and full-release qualification remain separate.
libintl-8.dll,MinGW/Windows-UCRT,admitted-limited-role,31db0d0e7780cf28dca1309a894cb775b2ab130c4ba777c546a206970ca47320,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libintl-8.dll,mingw-w64-clang-aarch64-gettext-runtime 1.0-1 (C projection),C:\ap11-native-provider-intake\official-clangarm64-libintl-limited-mvp-v1\export.json,ac7849fd9934f5773ab1aa9a49aba30e78c371645af13944cf06d65c6c6661f1,mingwarm64/bin/libiconv-2.dll,21,MISSING / required GNU gettext package not admitted,Artifact role only; not a strict package-provider transaction. Official CLANGARM64 C projection; strict GNU gettext is not admitted.
libpcre2-8.dll,MinGW/Windows-UCRT,admitted-limited-role,631cd65ed9d1a33938e6cdb63dd3c2e866d1d9b2dc81c4cdfd813ccbf50c1bff,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libpcre2-8.dll,mingw-w64-aarch64-pcre2,C:\ap11-native-provider-intake\pcre2-current-byte-limited-mvp-v1\export.json,77837f952344405b330ee730169b83f45ce300a8a74a5cc32b498752f55dbee8,,19,Current strict selection exists; same DLL bytes,"Artifact role only; not a strict package-provider transaction. Same archive remains selected in strict audit, with source/repro/full-suite limits."
libssl-3-arm64.dll,MinGW/Windows-UCRT,unadmitted-superseded-bytes,819faab1f9b057302009d35fda49853aea8ccaadc29d2189420237ae8528da48,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libssl-3-arm64.dll,mingw-w64-aarch64-openssl,C:\ap11-native-provider-intake\openssl-mingwarm64-admitted-v1\export.json,4c3a57be0859f70a355a6d133604cf278cd06fc8406f734344bf15331ebf1a62,mingwarm64/bin/libcrypto-3-arm64.dll,1,Current strict selection exists; different DLL bytes,Old archive256c superseded by admitted02f2. Intake explicitly rejects these old bytes as current limited authority. No substitution made.
libtre-5.dll,MinGW/Windows-UCRT,admitted-selected-package,fbae822e7c3235d6b2453d9c2500c3961145d78d2debdce761813a495660696a,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libtre-5.dll,mingw-w64-aarch64-libtre,C:\ap11-native-provider-intake\revoked-free-closures-v2\python-export.json,50135bf37587bf428930ccd6f3cc93bb0a0891fbd80bb74d18446911a5896c2f,mingwarm64/bin/libintl-8.dll,1,Current strict selection exists; same DLL bytes,Exact current selected package member; dependency completeness and full-release qualification remain separate.
libunistring-5.dll,MinGW/Windows-UCRT,admitted-selected-package,db9e0e32a203c2279641f943577f676a316cbe3602d401eb0bf73b971f755eab,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libunistring-5.dll,mingw-w64-aarch64-libunistring,C:\ap11-native-provider-intake\revoked-free-closures-v2\network-export.json,aa92b9ef76a7c0d2ffcd72b2f816ea30f0d0cbfc55e9d949eef073324e8817ae,mingwarm64/bin/libiconv-2.dll,1,Current strict selection exists; same DLL bytes,Exact current selected package member; dependency completeness and full-release qualification remain separate.
libz.dll,MinGW/Windows-UCRT,admitted-selected-package,24e27cb2d1693635634b322e8090aab315fe512ce97beced95bf92b18ef79818,C:\ag-mvp-f6-20260911\limited-candidate-02\mingwarm64\bin\libz.dll,mingw-w64-aarch64-zlib,C:\ap11-native-provider-intake\revoked-free-closures-v2\network-export.json,aa92b9ef76a7c0d2ffcd72b2f816ea30f0d0cbfc55e9d949eef073324e8817ae,,19,Current strict selection exists; same DLL bytes,Exact current selected package member; dependency completeness and full-release qualification remain separate.
advapi32.dll,Windows system boundary,Windows-satisfied,cadebff57e2f902855e521cdfbfdf6fbde908ce3d7e6f9edb8457d7aa15eed7d,C:\Windows\System32\advapi32.dll,Windows System32 DLL,C:\Windows\System32\advapi32.dll,cadebff57e2f902855e521cdfbfdf6fbde908ce3d7e6f9edb8457d7aa15eed7d,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
